Name,Type,Category,Power,Accuracy,PP,Short-Effect,Full-Effect
Smokescreen,Normal,Status,—,100,20,Lowers opponent's Accuracy.,The user releases an obscuring cloud of smoke or ink. This lowers the target’s accuracy.
Snap Trap,Grass,Physical,35,100,15,"Traps opponent, damaging them for 4-5 turns.",The user snares the target in a snap trap that inflicts damage for four to five turns.
Snarl,Dark,Special,55,95,15,Lowers opponent's Special Attack.,"The user yells as if it’s ranting about something, which lowers the Sp. Atk stats of opposing Pokémon."
Snatch,Dark,Status,—,—,10,Steals the effects of the opponent's next move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Snipe Shot,Water,Special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.,"The user ignores the effects of opposing Pokémon’s moves and Abilities that draw in moves, allowing this move to hit the chosen target."
Snore,Normal,Special,50,100,15,Can only be used if asleep. May cause flinching.,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.
Snowscape,Ice,Status,—,—,10,Raises Defense of Ice types for 5 turns.,The user summons a snowstorm lasting five turns. This boosts the Defense stats of Ice types.
Soak,Water,Status,—,100,20,Changes the target's type to water.,The user shoots a torrent of water that changes the target’s type to Water.
Soft-Boiled,Normal,Status,—,—,5,User recovers half its max HP.,The user restores its own HP by up to half its max HP.
Solar Beam,Grass,Special,120,100,10,"Charges on first turn, attacks on second.","The user gathers light on the first turn, then blasts a bundled beam on the next turn."
Solar Blade,Grass,Physical,125,100,10,"Charges on first turn, attacks on second.","The user gathers light on the first turn, then fills a blade with the light’s energy and attacks on the next turn."
Sonic Boom,Normal,Special,—,90,20,Always inflicts 20 HP.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Soul-Stealing 7-Star Strike,Ghost,Physical,195,—,1,Marshadow-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Spacial Rend,Dragon,Special,100,95,5,High critical hit ratio.,The user tears the target along with the space around it. This move has a heightened chance of landing a critical hit.
Spark,Electric,Physical,65,100,20,May paralyze opponent.,The user attacks the target with an electrically charged tackle. This may also leave the target with paralysis.
Sparkling Aria,Water,Special,90,100,10,Heals the burns of its target.,"The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be cured by the touch of these bubbles."
Sparkly Swirl,Fairy,Special,90,100,15,Cures all status problems in the party Pokémon.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Spectral Thief,Ghost,Physical,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.","The user hides in the target’s shadow, steals the target’s stat boosts, and then attacks."
Speed Swap,Psychic,Status,—,—,10,The user exchanges Speed stats with the target.,The user exchanges Speed stats with the target.
Spicy Extract,Grass,Status,—,∞,15,Harshly lowers the opponent's Defense and sharply raises their Attack.,"The user emits an incredibly spicy extract, sharply boosting the target’s Attack stat and harshly lowering the target’s Defense stat."
Spider Web,Bug,Status,—,—,10,Opponent cannot escape/switch.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Spike Cannon,Normal,Physical,20,100,15,Hits 2-5 times in one turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Spikes,Ground,Status,—,—,20,Damages opponents switching into battle.,The user lays a trap of spikes at the feet of the opposing team. The spikes will damage opposing Pokémon that switch into battle.
Spiky Shield,Grass,Status,—,—,10,Protects the user and inflicts damage on contact.,"In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact."
Spin Out,Steel,Physical,100,100,5,Harshly lowers user’s Speed.,"The user spins furiously by straining its legs, inflicting damage on the target. This also harshly lowers the user’s Speed stat."
Spirit Break,Fairy,Physical,75,100,15,Lowers opponent's Special Attack.,The user attacks the target with so much force that it could break the target’s spirit. This also lowers the target’s Sp. Atk stat.
Spirit Shackle,Ghost,Physical,80,100,10,Prevents the opponent from switching out.,The user attacks while simultaneously stitching the target’s shadow to the ground to prevent the target from fleeing.
Spit Up,Normal,Special,—,100,10,Power depends on how many times the user performed Stockpile.,"The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move’s power."
Spite,Ghost,Status,—,100,10,The opponent's last move loses 2-5 PP.,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
Splash,Normal,Status,—,—,40,Doesn't do ANYTHING.,The user just flops and splashes around to no effect at all...
Splintered Stormshards,Rock,Physical,190,—,1,Lycanroc-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Splishy Splash,Water,Special,90,100,15,May paralyze opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Spore,Grass,Status,—,100,15,Puts opponent to sleep.,The user scatters bursts of spores that induce sleep.
Spotlight,Normal,Status,—,—,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Springtide Storm,Fairy,Special,100,80,5,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",The user attacks by wrapping opposing Pokémon in fierce winds brimming with love and hate. This may also lower their Attack stats.
Stealth Rock,Rock,Status,—,—,20,Damages opponents switching into battle.,The user lays a trap of levitating stones around the opposing team. The trap damages opposing Pokémon that switch into battle.
Steam Eruption,Water,Special,110,95,5,May burn opponent.,The user immerses the target in superheated steam. This may also leave the target with a burn.
Steamroller,Bug,Physical,65,100,20,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Steel Beam,Steel,Special,140,95,5,User loses 50% of its HP.,The user fires a beam of steel that it collected from its entire body. This also damages the user.
Steel Roller,Steel,Physical,130,100,5,Fails if no Terrain in effect.,The user attacks while destroying the terrain. This move fails if the ground hasn’t turned into a terrain.
Steel Wing,Steel,Physical,70,90,25,May raise user's Defense.,The target is hit with wings of steel. This may also boost the user’s Defense stat.
Sticky Web,Bug,Status,—,—,20,Lowers opponent's Speed when switching into battle.,"The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle."
Stockpile,Normal,Status,—,—,20,Stores energy for use with Spit Up and Swallow.,The user stores power and boosts its Defense and Sp. Def stats. This move can be used up to three times.
Stoked Sparksurfer,Electric,Special,175,—,1,Alolan Raichu-exclusive Electric type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Stomp,Normal,Physical,65,100,20,May cause flinching.,The user attacks by stomping on the target with a big foot. This may also make the target flinch.
Stomping Tantrum,Ground,Physical,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.","Driven by frustration, the user attacks the target. This move’s power is doubled if the user’s previous move failed."
Stone Axe,Rock,Physical,65,90,15,Sets up Stealth Rock.,"The user swings its stone axes at the target, aiming to land a critical hit. Stone splinters left behind by this attack float around the target."
Stone Edge,Rock,Physical,100,80,5,High critical hit ratio.,The user stabs the target with sharpened stones. This move has a heightened chance of landing a critical hit.
Stored Power,Psychic,Special,20,100,10,Power increases when user's stats have been raised.,"The user attacks the target with stored power. The more the user’s stats are boosted, the greater the move’s power."
Storm Throw,Fighting,Physical,60,100,10,Always results in a critical hit.,The user attacks by striking the target with a fierce blow. This move always lands a critical hit.
Strange Steam,Fairy,Special,90,95,10,May confuse opponent.,The user attacks the target by emitting steam. This may also confuse the target.
Strength,Normal,Physical,80,100,15,,The target is slugged with a punch thrown at maximum power.
Strength Sap,Grass,Status,—,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,The user restores its own HP by the same amount as the target’s Attack stat. It then lowers the target’s Attack stat.
String Shot,Bug,Status,—,95,40,Sharply lowers opponent's Speed.,The user blows silk from its mouth that binds opposing Pokémon and harshly lowers their Speed stats.
Struggle,Normal,Physical,50,—,—,Only usable when all PP are gone. Hurts the user.,This attack is used in desperation only if the user has no remaining PP. It also damages the user a little.
Struggle Bug,Bug,Special,50,100,20,Lowers opponent's Special Attack.,The user attacks by struggling against opposing Pokémon. This also lowers their Sp. Atk stats.
Stuff Cheeks,Normal,Status,—,—,10,"The user eats its held Berry, then sharply raises its Defense stat.","The user eats its held Berry, then sharply boosts its Defense stat."
Stun Spore,Grass,Status,—,75,30,Paralyzes opponent.,The user scatters a cloud of numbing powder that paralyzes the target.
Submission,Fighting,Physical,80,80,20,User receives recoil damage.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Substitute,Normal,Status,—,—,10,Uses HP to creates a decoy that takes hits.,The user creates a substitute for itself using some of its own HP. The substitute serves as the user’s decoy.
Subzero Slammer,Ice,None,—,—,1,Ice type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sucker Punch,Dark,Physical,70,100,5,"User attacks first, but only works if opponent is readying an attack.",This move enables the user to attack first. This move fails if the target is not readying an attack.
Sunny Day,Fire,Status,—,—,5,Makes it sunny for 5 turns.,"The user intensifies the sun for five turns, powering up Fire-type attacks. The sunlight also lowers the power of Water-type attacks."
Sunsteel Strike,Steel,Physical,100,100,5,Ignores the target's ability.,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Ability.
Super Fang,Normal,Physical,—,90,10,Always takes off half of the opponent's HP.,The user chomps hard on the target with its sharp front fangs. This cuts the target’s HP in half.
Supercell Slam,Electric,Physical,100,95,15,,TM210
Superpower,Fighting,Physical,120,100,5,Lowers user's Attack and Defense.,The user attacks the target with great power. This also lowers the user’s Attack and Defense stats.
Supersonic,Normal,Status,—,55,20,Confuses opponent.,The user generates odd sound waves from its body that confuse the target.
Supersonic Skystrike,Flying,None,—,—,1,Flying type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Surf,Water,Special,90,100,15,Hits all adjacent Pokémon.,The user attacks everything around it by swamping its surroundings with a giant wave.
Surging Strikes,Water,Physical,25,100,5,Always results in a critical hit and ignores stat changes.,"The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This move always lands a critical hit."
Swagger,Normal,Status,—,85,15,"Confuses opponent, but sharply raises its Attack.","The user enrages and confuses the target. However, this also sharply boosts the target’s Attack stat."
Swallow,Normal,Status,—,—,10,"The more times the user has performed Stockpile, the more HP is recovered.","The power stored using the move Stockpile is absorbed by the user to restore its own HP. The more power is stored, the more HP is restored."
Sweet Kiss,Fairy,Status,—,75,10,Confuses opponent.,"The user kisses the target with a sweet, angelic cuteness that causes confusion."
Sweet Scent,Normal,Status,—,100,20,Lowers opponent's Evasiveness.,The user releases a scent that harshly lowers opposing Pokémon’s evasiveness.
Swift,Normal,Special,60,∞,20,Ignores Accuracy and Evasiveness.,Star-shaped rays are shot at opposing Pokémon. This attack never misses.
Switcheroo,Dark,Status,—,100,10,Swaps held items with the opponent.,The user trades held items with the target faster than the eye can follow.
Swords Dance,Normal,Status,—,—,20,Sharply raises user's Attack.,A frenetic dance to uplift the fighting spirit. This sharply boosts the user’s Attack stat.
Synchronoise,Psychic,Special,120,100,10,Hits any Pokémon that shares a type with the user.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Synthesis,Grass,Status,—,—,5,User recovers HP. Amount varies with the weather.,The user restores its own HP. The amount of HP regained varies with the weather.
Syrup Bomb,Grass,Special,60,85,10,Lowers opponent's Speed each turn for 3 turns.,Lowers opponent's Speed each turn for 3 turns.
Tachyon Cutter,Steel,Special,50,∞,10,Guaranteed to hit twice in a row.,Guaranteed to hit twice in a row.
Tackle,Normal,Physical,40,100,35,,A physical attack in which the user charges and slams into the target with its whole body.
Tail Glow,Bug,Status,—,—,20,Drastically raises user's Special Attack.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Tail Slap,Normal,Physical,25,85,10,Hits 2-5 times in one turn.,The user attacks by striking the target with its hard tail. This move hits two to five times in a row.
Tail Whip,Normal,Status,—,100,30,Lowers opponent's Defense.,"The user wags its tail cutely, making opposing Pokémon less wary. This lowers their Defense stats."
Tailwind,Flying,Status,—,—,15,Doubles Speed for 4 turns.,The user whips up a turbulent whirlwind that boosts the Speed stats of itself and its allies for four turns.
Take Down,Normal,Physical,90,85,20,User receives recoil damage.,A reckless full-body charge attack for slamming into the target. This also damages the user a little.
Take Heart,Psychic,Status,—,—,10,Heals user's status conditions and raises its stats.,"The user lifts its spirits, curing its own status conditions and boosting its Sp. Atk and Sp. Def stats."
Tar Shot,Rock,Status,—,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,"The user pours sticky tar over the target, lowering the target’s Speed stat. The target becomes weaker to Fire-type moves."
Taunt,Dark,Status,—,100,20,Opponent can only use moves that attack.,The target is taunted into a rage that allows it to use only attack moves for three turns.
Tearful Look,Normal,Status,—,—,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,The user gets teary-eyed to make the target lose its combative spirit. This lowers the target’s Attack and Sp. Atk stats.
Teatime,Normal,Status,—,—,10,Forces all Pokémon on the field to eat their berries.,The user has teatime with all the Pokémon currently in the battle. Each Pokémon eats its held Berry.
Techno Blast,Normal,Special,120,100,5,Type depends on the Drive being held.,The user attacks by firing a beam of light at the target. This move’s type changes depending on the kind of drive held by the user.
Tectonic Rage,Ground,None,—,—,1,Ground type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Teeter Dance,Normal,Status,—,100,20,Confuses all Pokémon.,The user performs a wobbly dance that confuses every Pokémon around it.
Telekinesis,Psychic,Status,—,—,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Teleport,Psychic,Status,—,—,20,Allows user to flee wild battles; also warps player to last PokéCenter.,"The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees."
Temper Flare,Fire,Physical,75,100,10,,TM207
Tera Blast,Normal,Special,80,100,10,Changes type when the user has Terastallized.,"If the user has Terastallized, it unleashes energy of its Tera Type. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user."
Tera Starstorm,Normal,Special,120,100,5,,"With the power of its crystals, the user bombards and eliminates the target. When used by Terapagos in its Stellar Form, this move damages all opposing Pokémon."
Terrain Pulse,Normal,Special,50,100,10,Type and power change depending on the Terrain in effect.,The user utilizes the energy of the terrain to attack. This move’s type and power change depending on the terrain at the time the move is used.
Thief,Dark,Physical,60,100,25,Also steals opponent's held item.,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.
Thousand Arrows,Ground,Physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.,This move can hit opposing Pokémon that are in the air. Those Pokémon will be knocked down to the ground.
Thousand Waves,Ground,Physical,90,100,10,Opponent cannot flee or switch.,The user attacks with a wave that crawls along the ground. Those it hits can’t flee from battle.
Thrash,Normal,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,The user rampages and attacks for two to three turns. The user then becomes confused.
Throat Chop,Dark,Physical,80,100,15,Prevents use of sound moves for two turns.,"The user attacks the target’s throat, and the resultant suffering prevents the target from using sound-based moves for two turns."
Thunder,Electric,Special,110,70,10,May paralyze opponent.,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
Thunder Cage,Electric,Special,80,90,15,"Deals damage and traps opponent, damaging them for 4-5 turns.",The user traps the target inside a cage of sparking electricity that inflicts damage for four to five turns.
Thunder Fang,Electric,Physical,65,95,15,May cause flinching and/or paralyze opponent.,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.
Thunder Punch,Electric,Physical,75,100,15,May paralyze opponent.,The target is attacked with an electrified punch. This may also leave the target with paralysis.
Thunder Shock,Electric,Special,40,100,30,May paralyze opponent.,The user attacks the target with a jolt of electricity. This may also leave the target with paralysis.
Thunder Wave,Electric,Status,—,90,20,Paralyzes opponent.,The user launches a weak jolt of electricity that paralyzes the target.
Thunderbolt,Electric,Special,90,100,15,May paralyze opponent.,The user attacks the target with a strong electric blast. This may also leave the target with paralysis.
Thunderclap,Electric,Special,70,100,5,Strikes before a target's move.,Strikes before a target's move.
Thunderous Kick,Fighting,Physical,90,100,10,Lowers opponent's Defense.,The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target’s Defense stat.
Tickle,Normal,Status,—,100,20,Lowers opponent's Attack and Defense.,"The user tickles the target into laughing, lowering its Attack and Defense stats."
Tidy Up,Normal,Status,—,—,10,"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.","The user tidies up and removes the effects of Spikes, Stealth Rock, Sticky Web, Toxic Spikes, and Substitute. This also boosts the user’s Attack and Speed stats."
Topsy-Turvy,Dark,Status,—,—,20,Reverses stat changes of opponent.,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.
Torch Song,Fire,Special,80,100,10,Raises user's Special Attack.,"The user blows out raging flames as if singing a song, scorching the target. This also boosts the user’s Sp. Atk stat."
Torment,Dark,Status,—,100,15,Opponent cannot use the same move in a row.,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
Toxic,Poison,Status,—,90,10,Badly poisons opponent.,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
Toxic Spikes,Poison,Status,—,—,20,Poisons opponents switching into battle.,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.
Toxic Thread,Poison,Status,—,100,20,Poisons opponent and lowers its Speed.,The user shoots poisonous threads to poison the target and lower the target’s Speed stat.
Trailblaze,Grass,Physical,50,100,20,Raises user's Speed.,The user attacks suddenly as if leaping out from tall grass. The user’s nimble footwork boosts its Speed stat.
Transform,Normal,Status,—,—,10,User takes on the form and attacks of the opponent.,"The user transforms into a copy of the target, right down to having the same move set."
Tri Attack,Normal,Special,80,100,10,"May paralyze, burn or freeze opponent.","The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target."
Trick,Psychic,Status,—,100,10,Swaps held items with the opponent.,The user catches the target off guard and swaps the target’s held item with its own.
Trick Room,Psychic,Status,—,—,5,Slower Pokémon move first in the turn for 5 turns.,The user creates a bizarre area in which slower Pokémon get to move first for five turns.
Trick-or-Treat,Ghost,Status,—,100,20,Adds Ghost type to opponent.,The user takes the target trick-or-treating. This adds Ghost type to the target’s type.
Triple Arrows,Fighting,Physical,90,100,10,High critical hit ratio. May lower opponent's Defense or cause them to flinch.,"The user kicks, then fires three arrows. This move has a heightened chance of landing a critical hit and may also lower the target’s Defense stat or make it flinch."
Triple Axel,Ice,Physical,20,90,10,Attacks thrice with more power each time.,A consecutive three-kick attack that becomes more powerful with each successful hit.
Triple Dive,Water,Physical,30,95,10,Hits 3 times in a row.,"The user performs a perfectly timed triple dive, hitting the target with splashes of water three times in a row."
Triple Kick,Fighting,Physical,10,90,10,Hits thrice in one turn at increasing power.,A consecutive three-kick attack that becomes more powerful with each successful hit.
Trop Kick,Grass,Physical,70,100,15,Lowers opponent's Attack.,The user lands an intense kick of tropical origins on the target. This also lowers the target’s Attack stat.
Trump Card,Normal,Special,—,∞,5,"The lower the PP, the higher the power.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Twin Beam,Psychic,Special,40,100,10,Hits twice in one turn.,The user shoots mystical beams from its eyes to inflict damage. The target is hit twice in a row.
Twineedle,Bug,Physical,25,100,20,Hits twice in one turn. May poison opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Twinkle Tackle,Fairy,None,—,—,1,Fairy type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Twister,Dragon,Special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.
U-turn,Bug,Physical,70,100,20,User switches out immediately after attacking.,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Upper Hand,Fighting,Physical,65,100,15,Strikes before a target's priority move.,TM229
Uproar,Normal,Special,90,100,10,User attacks for 3 turns and prevents sleep.,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep."
V-create,Fire,Physical,180,95,5,"Lowers user's Defense, Special Defense and Speed.","The user emits a hot flame from its forehead and hurls itself at the target to inflict damage. This also lowers the user’s Defense, Sp. Def, and Speed stats."
Vacuum Wave,Fighting,Special,40,100,30,User attacks first.,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
Veevee Volley,Normal,Physical,—,∞,20,Power increases when player's bond is stronger.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Venom Drench,Poison,Status,—,100,20,Lowers poisoned opponent's Special Attack and Speed.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Venoshock,Poison,Special,65,100,10,Inflicts double damage if the target is poisoned.,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.
Victory Dance,Fighting,Status,—,—,10,Raises Attack and Defense.,"The user performs an intense dance to usher in victory, boosting its Attack, Defense, and Speed stats."
Vine Whip,Grass,Physical,45,100,25,,"The target is struck with slender, whiplike vines to inflict damage."
Vise Grip,Normal,Physical,55,100,30,,The target is gripped and squeezed from both sides to inflict damage.
Vital Throw,Fighting,Physical,70,∞,10,"User attacks last, but ignores Accuracy and Evasiveness.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Volt Switch,Electric,Special,70,100,20,User must switch out after attacking.,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Volt Tackle,Electric,Physical,120,100,15,User receives recoil damage. May paralyze opponent.,The user electrifies itself and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with paralysis.
Wake-Up Slap,Fighting,Physical,70,100,10,"Power doubles if opponent is asleep, but wakes it up.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Water Gun,Water,Special,40,100,25,,The target is blasted with a forceful shot of water.
Water Pledge,Water,Special,80,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,"A column of water hits the target. When used with its fire counterpart, this move’s power is boosted and a rainbow appears."
Water Pulse,Water,Special,60,100,20,May confuse opponent.,The user attacks the target with a pulsing blast of water. This may also confuse the target.
Water Shuriken,Water,Special,15,100,20,Hits 2-5 times in one turn.,The user hits the target with throwing stars two to five times in a row. This move always goes first.
Water Sport,Water,Status,—,—,15,Weakens the power of Fire-type moves.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Water Spout,Water,Special,150,100,5,"The higher the user's HP, the higher the damage caused.","The user spouts water to damage opposing Pokémon. The lower the user’s HP, the lower the move’s power."
Waterfall,Water,Physical,80,100,15,May cause flinching.,The user charges at the target and may make it flinch.
Wave Crash,Water,Physical,120,100,10,User receives recoil damage.,The user shrouds itself in water and slams into the target with its whole body to inflict damage. This also damages the user quite a lot.
Weather Ball,Normal,Special,50,100,10,Move's power and type changes with the weather.,This move’s type and power change depending on the weather at the time the move is used.
Whirlpool,Water,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.","The user traps the target inside a violent, swirling whirlpool that inflicts damage for four to five turns."
Whirlwind,Normal,Status,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs.","The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
Wicked Blow,Dark,Physical,75,100,5,Always results in a critical hit and ignores stat changes.,"The user, having mastered the Dark style, strikes the target with a fierce blow. This move always lands a critical hit."
Wicked Torque,Dark,Physical,80,100,10,May put opponent to sleep.,Wicked Torque deals damage and has a 10% chance of putting the target to sleep.
Wide Guard,Rock,Status,—,—,10,Protects the user's team from multi-target attacks.,The user and its allies are protected from wide-ranging attacks for one turn.
Wild Charge,Electric,Physical,90,100,15,User receives recoil damage.,The user shrouds itself in electricity and smashes into the target. This also damages the user a little.
Wildbolt Storm,Electric,Special,100,80,10,May paralyze target.,The user summons a thunderous tempest and savagely attacks with lightning and wind. This may also leave opposing Pokémon with paralysis.
Will-O-Wisp,Fire,Status,—,85,15,Burns opponent.,The user shoots a sinister flame at the target to inflict a burn.
Wing Attack,Flying,Physical,60,100,35,,"The target is struck with large, imposing wings spread wide to inflict damage."
Wish,Normal,Status,—,—,10,The user recovers HP in the following turn.,"One turn after this move is used, the user’s or its replacement’s HP is restored by up to half the user’s max HP."
Withdraw,Water,Status,—,—,40,Raises user's Defense.,"The user withdraws its body into its hard shell, boosting its Defense stat."
Wonder Room,Psychic,Status,—,—,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.,The user creates a bizarre area in which Pokémon’s Defense and Sp. Def stats are swapped for five turns.
Wood Hammer,Grass,Physical,120,100,15,User receives recoil damage.,The user slams its rugged body into the target to attack. This also damages the user quite a lot.
Work Up,Normal,Status,—,—,30,Raises user's Attack and Special Attack.,"The user is roused, and its Attack and Sp. Atk stats are boosted."
Worry Seed,Grass,Status,—,100,10,Changes the opponent's Ability to Insomnia.,A seed that causes worry is planted on the target. It prevents sleep by making the target’s Ability Insomnia.
Wrap,Normal,Physical,15,90,20,"Traps opponent, damaging them for 4-5 turns.","A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
Wring Out,Normal,Special,—,100,5,"The higher the opponent's HP, the higher the damage.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
X-Scissor,Bug,Physical,80,100,15,,"The user slashes at the target by crossing its scythes, claws, or the like as if they were a pair of scissors."
Yawn,Normal,Status,—,—,10,Puts opponent to sleep in the next turn.,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
Zap Cannon,Electric,Special,120,50,5,Paralyzes opponent.,The user attacks by firing an electric blast like a cannon. This also leaves the target with paralysis.
Zen Headbutt,Psychic,Physical,80,90,15,May cause flinching.,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.
Zing Zap,Electric,Physical,80,100,10,May cause flinching.,"The user crashes into the target, delivering a powerful electric shock. This may also make the target flinch."
Zippy Zap,Electric,Physical,50,100,15,Always results in a critical hit.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
